Date,close,composite,position,daily_ret,portfolio,rf_signal,xgb_signal
2022-04-19,421.12969970703125,0.046330153900433414,0.0,0.0,100000.0,0.0973065792611299,0.002636075
2022-04-20,420.8173828125,-0.01795511471203441,0.0,-0.0,100000.0,-0.002353319443976154,-0.031328082
2022-04-21,414.524658203125,0.01532562431151844,0.0,-0.0,100000.0,0.012167543394561109,0.01803255
2022-04-22,403.1504821777344,0.04222396920249433,0.0,-0.0,100000.0,0.04955242546338573,0.035942435
2022-04-25,405.48779296875,-0.032885656501126216,0.0,0.0,100000.0,-0.06727533451195145,-0.0034087896
2022-04-26,393.7445068359375,-0.0032489751365939634,0.0,-0.0,100000.0,0.005175244317566718,-0.010469735
2022-04-27,394.85162353515625,-0.032096683255574125,0.0,0.0,100000.0,-0.05732812327355696,-0.010469735
2022-04-28,404.82537841796875,-0.0036943942153726287,0.0,0.0,100000.0,-0.00402759955948534,-0.0034087896
2022-04-29,389.86474609375,0.05378983045093105,0.0,-0.0,100000.0,0.0746117915016653,0.035942435
2022-05-02,392.2115783691406,-0.014169905091080055,0.0,0.0,100000.0,-0.022748800708484118,-0.006816566
2022-05-03,394.00946044921875,0.01683186204439426,0.0,0.0,100000.0,0.04044595567000958,-0.0034087896
2022-05-04,406.0081787109375,0.020720576064114715,0.0,0.0,100000.0,0.009245957369973967,0.030555964
2022-05-05,391.5774841308594,0.015701978056282373,0.0,-0.0,100000.0,0.041973612777467806,-0.006816566
2022-05-06,389.240234375,-0.024190971262808704,0.0,-0.0,100000.0,-0.044461110747229526,-0.006816566
2022-05-09,376.77783203125,-0.005992674697105713,0.0,-0.0,100000.0,-0.0007694380635420717,-0.010469735
2022-05-10,377.64837646484375,-0.004121184854920575,0.0,0.0,100000.0,-0.0009765735301385803,-0.006816566
2022-05-11,371.6490478515625,0.07554045185460524,0.0,-0.0,100000.0,0.11405215866893592,0.042530417
2022-05-12,371.26104736328125,0.011797378218684908,0.0,-0.0,100000.0,0.0335136464626733,-0.006816566
2022-05-13,380.1370849609375,-0.002990304004578747,0.0,0.0,100000.0,-0.03389547954476152,0.023499846
2022-05-16,378.5947265625,0.07829522232687958,0.0,-0.0,100000.0,0.12002082802553032,0.042530417
2022-05-17,386.3824462890625,0.03066793234867306,0.0,0.0,100000.0,0.04694657354287285,0.016714811
2022-05-18,370.8068542480469,0.06321369510840287,0.0,-0.0,100000.0,0.08337616543862858,0.045931578
2022-05-19,368.5357666015625,-0.017947513805114904,0.0,-0.0,100000.0,-0.030933619588892958,-0.006816566
2022-05-20,368.69659423828125,0.002012777197137054,0.0,0.0,100000.0,0.012313677582652949,-0.006816566
2022-05-23,375.594970703125,0.04865404789200388,0.0,0.0,100000.0,0.06348426262398976,0.035942435
2022-05-24,372.7277526855469,0.06024724239999232,0.0,-0.0,100000.0,0.06042491385278487,0.060094953
2022-05-25,376.02081298828125,0.022281349740667,0.0,0.0,100000.0,0.016600104429516038,0.027150989
2022-05-26,383.5342102050781,-0.01304121284849748,0.0,0.0,100000.0,-0.024279039931255852,-0.0034087896
2022-05-27,392.9495849609375,0.0034111230026250376,0.0,0.0,100000.0,-0.028257857596587,0.030555964
2022-05-31,390.7447814941406,-0.030289307375585887,0.0,-0.0,100000.0,-0.0355333813061095,-0.025794387
2022-06-01,387.58428955078125,-0.047132369367331485,0.0,-0.0,100000.0,-0.058051966022228674,-0.037772715
2022-06-02,394.9651794433594,-0.01574161893890706,0.0,0.0,100000.0,-0.007986833996182163,-0.022388577
2022-06-03,388.48321533203125,-0.023424123047620073,0.0,-0.0,100000.0,-0.036514346159959854,-0.012203932
2022-06-06,389.666015625,0.061865831650499636,0.0,0.0,100000.0,0.07987514603198465,0.046429276
2022-06-07,393.4037780761719,0.07511724753293204,0.0,0.0,100000.0,0.16462108228018962,-0.0016003251
2022-06-08,389.12664794921875,0.050718278680215514,0.0,-0.0,100000.0,0.06437774216493186,0.039010167
2022-06-09,379.8721618652344,0.047056056655456584,0.0,-0.0,100000.0,0.052507590711303787,0.042383313
2022-06-10,368.8575439453125,-0.0013735145960764518,0.0,-0.0,100000.0,-0.006171253956833045,0.0027388334
2022-06-13,354.8526306152344,-0.02150045316701178,0.0,-0.0,100000.0,-0.03863165487300285,-0.006816566
2022-06-14,353.7833557128906,-0.04518452291670413,0.0,-0.0,100000.0,-0.0856851092060053,-0.010469735
2022-06-15,358.8269348144531,0.023499227907936147,0.0,0.0,100000.0,0.04090322148582087,0.008581519
2022-06-16,346.95123291015625,0.041423720520143176,0.0,-0.0,100000.0,0.043848446875522196,0.039345384
2022-06-17,347.69915771484375,-0.020676619833285854,0.0,0.0,100000.0,-0.03684668264993002,-0.006816566
2022-06-21,356.4520568847656,0.05015234893790309,0.0,0.0,100000.0,0.0769872693568609,0.027150989
